Exercise name,Trainer Link, Vimeo Link, Vimeo Image, Matched, Gender (Male/Female/Anyone),Priority,Level,Location (Gym/Home/Any),Muscle Group,Metric 1,Metric 2,Personal Best Tracking
Bulgarian Split Squat (Glute Dominant),,https://vimeo.com/487928984,https://i.vimeocdn.com/video/1009802738_1080x1920.jpg?r=pad,No,Women,P1,Beginner,Home and Gym,Glutes,Reps,Weight,Weight
Dumbbell Tricep Kickback,,https://vimeo.com/487928961,https://i.vimeocdn.com/video/1009802741_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Gym Only,Triceps,Reps,Weight,Weight
Dumbbell Reverse Fly,,https://vimeo.com/487928956,https://i.vimeocdn.com/video/1009802925_2160x3840.jpg?r=pad,No,Anyone,P2,Beginner,Home and Gym,Shoulders,Reps,Weight,Weight
Easy Curl Bar SkullCrusher,,https://vimeo.com/487928929,https://i.vimeocdn.com/video/1009802605_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Gym Only,Triceps,Reps,Weight,Weight
Incline Barbell Chest Press,,https://vimeo.com/487928904,https://i.vimeocdn.com/video/1009802643_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Gym Only,Chest,Reps,Weight,Weight
Barbell Hip Thrust,,https://vimeo.com/487928902,https://i.vimeocdn.com/video/1009802649_1080x1920.jpg?r=pad,No,Women,P1,Beginner,Gym Only,Glutes,Reps,Weight,Weight
Barbell Chest Press,,https://vimeo.com/487928887,https://i.vimeocdn.com/video/1009802572_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Gym Only,Chest,Reps,Weight,Weight
Banded Side Squat,,https://vimeo.com/487928876,https://i.vimeocdn.com/video/1009802537_1080x1920.jpg?r=pad,No,Women,P1,Beginner,Home and Gym,Glutes,Reps,Weight,Weight
Incline Alternating Dumbbell Curl,,https://vimeo.com/487928862,https://i.vimeocdn.com/video/1009802476_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Gym Only,Biceps,Reps,Weight,Weight
Alternating Dumbbell Curl,,https://vimeo.com/487928848,https://i.vimeocdn.com/video/1009802449_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home and Gym,Biceps,Reps,Weight,Weight
Air Squat,,https://vimeo.com/487928836,https://i.vimeocdn.com/video/1009802545_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home and Gym,Glutes,Reps,Duration,Reps
180 Degree Jump Squat,,https://vimeo.com/487928829,https://i.vimeocdn.com/video/1009802399_1080x1920.jpg?r=pad,No,Anyone,P1,Beginner,Home and Gym,Circuit Cardio,Reps,Duration,Reps
ZottMan Curl,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/2,https://vimeo.com/487929681,https://i.vimeocdn.com/video/1009804117_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Wide Grip Lat Pulldown,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/4,https://vimeo.com/487929675,https://i.vimeocdn.com/video/1009804020_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Weighted Squat,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/205,https://vimeo.com/487929661,https://i.vimeocdn.com/video/1009804094_1080x1920.jpg?r=pad,Yes,,,,Home Only,,,,
Wall sit,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/142,https://vimeo.com/487929653,https://i.vimeocdn.com/video/1009803975_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Up and Down Plank,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/10,https://vimeo.com/487929627,https://i.vimeocdn.com/video/1009803995_1080x1920.jpg?r=pad,Yes,,,,Home Only,,,,
Underhand Lat Pulldown,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/11,https://vimeo.com/487929619,https://i.vimeocdn.com/video/1009803971_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Tricep Push up,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/13,https://vimeo.com/487929607,https://i.vimeocdn.com/video/1009803842_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Floor back extensions,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/75,https://vimeo.com/487929579,https://i.vimeocdn.com/video/1009803906_1080x1920.jpg?r=pad,Yes,,,,Home Only,,,,
Sumo Deadlift,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/22,https://vimeo.com/487929575,https://i.vimeocdn.com/video/1009803924_1920x1080.jpg?r=pad,Yes,,,,Gym Only,,,,
Straight Arm Pulldown,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/200,https://vimeo.com/487929569,https://i.vimeocdn.com/video/1009803907_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Star Jumps,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/26,https://vimeo.com/487929549,https://i.vimeocdn.com/video/1009803858_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Standing Single Leg Calf Raise,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/27,https://vimeo.com/487929544,https://i.vimeocdn.com/video/1009816814_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Standing Calf Raise Machine,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/29,https://vimeo.com/487929539,https://i.vimeocdn.com/video/1009803654_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Squat Press,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/144,https://vimeo.com/487929531,https://i.vimeocdn.com/video/1009803674_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Squat Jump,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/31,https://vimeo.com/487929527,https://i.vimeocdn.com/video/1009803677_1080x1920.jpg?r=pad,Yes,,,,Home Only,,,,
Snow Angels,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/32,https://vimeo.com/487929522,https://i.vimeocdn.com/video/1009803740_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Smith Machine Squat,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/194,https://vimeo.com/487929511,https://i.vimeocdn.com/video/1009803631_1080x1920.jpg?r=pad,Yes,,,,Gym Only,,,,
Skaters,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/35,https://vimeo.com/487929503,https://i.vimeocdn.com/video/1009803607_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Single Leg Back Stepping Lunges,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/38,https://vimeo.com/487929494,https://i.vimeocdn.com/video/1009803571_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Side Plank,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/40,https://vimeo.com/487929483,https://i.vimeocdn.com/video/1009803532_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
Shuttle Runs,https://macroactive-jackcoffey.macroactive.io/fitness/exercises/190,https://vimeo.com/487929478,https://i.vimeocdn.com/video/1009803510_1080x1920.jpg?r=pad,Yes,,,,Home and Gym,,,,
